country,code,indicator,ind_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Channel Islands,CHI,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,0,0,15,25,13,13,67,67,50,81,103,114,191,130,196,249,390,487,580,684,775,650,660,791,972,1024.6,1130.2,1091.1,882.243,972.13,1316.75,1768.2,1498.65,
Chile,CHL,Aquaculture production (metric tons),ER.FSH.AQUA.MT,80,80,90,100,110,120,230,144,183,201,183,212,258,370,443,543,736,818,1093,1514,2088,2789,5316,1972,8611,7497,9941,13936,32349,51510,70464,105258,116281,135090,183747,206266,323115,375113,361430,305494,425058,631634,617303,607338,696157,739368,832329,806166,870845,881084,713241,969539,1075547,1045718,1227359,1057742,1050117,
China,CHN,Aquaculture production (metric tons),ER.FSH.AQUA.MT,870506,689762,653121,751331,876283,1018740,1144775,1139911,1130208,1302649,1294180,1555198,1708229,1587984,1720938,1876231,1841375,2396953,2544849,2478985,2660226,2647423,2872642,3250408,3830077,4579259,5248178,6011103,6995409,7620971,7962986,9067388,11300000,14200000,17100000,20000000,22200000,22400000,24400000,26600000,28500000,29900000,31900000,33600000,35900000,37600000,39600000,41200000,42700000,45300000,47800000,50200000,53900000,57100000,58800000,61000000,63700000,
Cote d'Ivoire,CIV,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,21,60,213,229,170,168,100,253,306,351,117,386,1128,450,862,1000,1197,1025,806,866,866,866,866,1290,1290,1340,1700,3394,3720,3720,3750,4000,4701,
Cameroon,CMR,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,5,11,22,40,57,89,120,282,130,124,137,167,138,106,74,57,50,50,57,58,67,67,67,50,150,330,385,395,402,435,546,546,546,570,571,840,1195,1575,1955,2315,
"Congo, Dem. Rep.",COD,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,180,689,723,759,760,700,700,730,700,650,600,600,1000,1833,1993,2076,2744,2965,2965,2965,2965,2970,2970,2970,2970,2970,2970,2869,2869,2871,2956.5,3161,
"Congo, Rep.",COG,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,48,47,61,91,121,177,243,240,243,191,234,121,139,106,99,140,190,66,64,68,69,72,80,21,25,65,56,58,68,98,119,134,153,177,
Colombia,COL,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,0,4,13,18,31,48,66,91,123,165,224,300,400,535,775,921,1171,1618,3314,5673,10455,12267,23987,23971,25652,36630,29990,43710,45933,52947,61786,57660,57160,60895,60072,61000,70132,66565,68200,80623,80367,83681,89654,89398,92002,95857,96970,
Comoros,COM,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
